cluster,unit,kind,parent_type,text,roberts,smithson,gross_wehling,notes
5,commit:09c7612537dda1e6b047003fbdcecf12242cd8d3:commit_message,top,commit,"(EZ-97) Remove pidfile just before start

This commit removes an old pidfile for a service process just before
starting up a new process.  Previously, if an old pid file had been in
place but the start failed, the underlying service script might
interpret the result of the start as 'success' when it should be
'failed'.",,,,
5,commit:f7e371b6070ef3ca85798f4671aae03ec08d0123:commit_message,random,commit,"Explicitly check out main branch during backports

The v7 release of  introduced a major change where it
will refuse to check out repository state that may be mutated by the
pull request. This commit explicitly sets  on the checkout
step of the workflow as  has logic for finding
the pull request and cherry-picking commits out of it.

Signed-off-by: Charlie Sharpsteen <charlie.com>",,,,
5,commit:71301a86c9d8a2dc19dce7bd8250c9a92d66aa39:commit_message,random,commit,"(SERVER-1670) Stop autogenerating dependencies for RPM packages

Currently the generated RPM packages will automatically generate
a set of requirements based on the contents of the package. This
has become an issue with puppet-server 2.7.0, as adding gems
to the package inadvertently added a dependency on system ruby.

This adds 'AutoReq: 0' to the RPM specs to stop generating automatic
dependency",,,,
5,pr:OpenVoxProject/ezbake:24:body,random,pull_request,"In https://github.com/OpenVoxProject/ezbake/pull/2/commits/6b3ad939736bb8d0f0a22a715f398a49a678a8d3 we introduced a new configuration option for . To get this working, we need to add it to ezbake itself. Otherwise the variable won't exist and we cannot use it in templates:



(see the whitespace after  where the java path should be.",,,,
5,commit:0d03169b2ebc107bba914295a6297eaafad081a3:commit_message,random,commit,"(SERVER-2602) Do not manage egd

This setting is of little value in Java 8+ and we've seen no difference
anecdotally between explicitly configuring /dev/urandom as a source vs
using the JVMs defaults.

We will be explicitly setting this to /dev/random for FIPS enabled
builds, however we will do so via the JAVA_ARGS variable. FOSS users who
would like to manage their egd source should use JAVA_ARGS",,,,
5,commit:d2ad06508bed85d7d886678c3563948903659faf:commit_message,random,commit,"(EZ-48) Add support for debian systemd

This commit updates both the PE and foss build pipelines to correctly
install systemd scripts for packages built with EZBake. It also cleans
up some of the logic in the {pre,post}{inst,rm} debian scripts.

This only upgrades Ububtu Xenial to systemd, even though it really
should include Debian Jessie. We disable the service in the prerm, which
prevents us fr",,,,
5,commit:f93255827b47c00f31370da9ab0533a0907fa07b:commit_message,random,commit,"Merge pull request #486 from sarameisburger/i-broke-things

(maint) i tagged when i shouldn't have...1.8.3 it is",,,,
5,commit:ceac3e367f0e866177989ca9755886fd8ca73eca:commit_message,random,commit,"Merge pull request #479 from sarameisburger/add_tk_args

(EZ-20) EZBake defaults templates should create a separate variable f…",,,,
5,commit:5a3f21f4606776c1013695477a65c19341610c07:commit_message,random,commit,"(RE-4779) Restart service on upgrade

In the postinst script, we have the potential for making changes to the
service on upgrade. Since we're already restarting the service for rpm,
we should be doing the same thing for deb. However, we want to ensure
this happens after any changes in the postinst script happen.

This is for both PE and foss, becuase, why not?",,,,
5,commit:883120b7cdfefb3d1e3d8372a679a56c2d67dcab:commit_message,random,commit,"(RE-8861) Change date time format to ISO8601

We should use the International format instead of the RFC",,,,
5,pr:OpenVoxProject/ezbake:35:comment_body:5,random,pull_request,Should be  :(,,,,
6,pr:OpenVoxProject/ezbake:37:comment_body:6,top,pull_request,My concern here is.. what if a person changes the listening port of an openvox-server/openvoxdb instance? Shall we parse the real config instead maybe? Or at least make it explicit in the config file to update the systemd unit file if the port is changed by some reason.,,,,
6,commit:a305a07bfaf392d160c6940442798beed19449c5:commit_message,top,commit,"Refactor code for copying files out of jars

Prior to this commit, there was a ton of overlap in how
we were copying config files out of the upstream jars
vs. how we were copying doc files out of the upstream jars.
Since there may be some more of these kinds of files coming
into play, I thought now would be a good time to refactor
out some common logic and clean things up a bit.",,,,
6,commit:f2e390618119e7aeff9740ea1f22fd222b034a71:commit_message,top,commit,"(MAINT) Fix init script bug when no post_start_action specified.

By default the post_start_action is an empty list which is a logical 'true'
value in Ruby. The previous logic led to an empty  block in the init scripts
which is a syntax error in sh and probably other shell script interpreters.

Signed-off-by: Wayne <wayne.com>",,,,
6,pr:OpenVoxProject/ezbake:27:comment_body:26,top,pull_request,"That makes sense. what is doing what when is confusing, but I don't think that's the fault of your pr :)",,,,
6,pr:OpenVoxProject/ezbake:27:comment_body:9,top,pull_request,"That makes sense. what is doing what when is confusing, but I don't think that's the fault of your pr :)",,,,
6,commit:fbb70c36d427d070551cc4698c4df99df5514b51:commit_message,random,commit,"(maint) Remove OnOutOfMemoryError from systemd service files

The kill in the OnOutOfMemoryError setting in the systemd service files
causes systemd to try to run the command for some reason. Possibly
something to do with escaping quotes. Until this can be fixed, this
commit removes those settings from the systemd service definitions.",,,,
6,pr:OpenVoxProject/ezbake:37:comment_body:7,random,pull_request,"This is not a major issue because long running migrations are so infrequently run, but just wanted to call it out.

openVoxDB will bind its port during startup, but before migrations are run, but it will reject all queries until migrations are finished. So I think this will report the service as ready before it can respond to queries. This may be a problem for catalog applications that apply a l",,,,
6,pr:OpenVoxProject/ezbake:8:comment_body:6,random,pull_request,"Not a real test, but I had a look at the differences. A lot of noise because of an update to the  gem and I guess the binstubs aren't deterministic.",,,,
6,pr:OpenVoxProject/ezbake:27:comment_body:18,random,pull_request,My version doesn't include this. Probably still a good thing to include.,,,,
6,commit:3477e4b0e9e17484c2d96e02cea99779515f4abe:commit_message,random,commit,Change ssl config to contain the likely defaults,,,,
6,pr:OpenVoxProject/ezbake:37:comment_body:5,random,pull_request,I guess it's  from busybox maybe.,,,,
6,pr:OpenVoxProject/ezbake:26:body,random,pull_request,"Disclaimer: I needed this to get my builds elsewhere running and I haven't verified this in the proper builds. However, I think it may show up. I'm submitting this before I log off.

Fixes: b2de7c7a2e7704491a08665a9f53ded8009aa109 (""Drop service wrappers"")",,,,
6,pr:OpenVoxProject/ezbake:37:comment_body:9,random,pull_request,"I guess it'd be nice to have sd_notify implemented, especially if you have a patch already 😆",,,,
6,commit:f9de8c42da74af5301260dd50e324c21e5dc7455:commit_message,random,commit,"(EZ-132) Change Java runtime OOM and logfile behavior

I think this should be all that's needed. I changed

  -XX:OnOutOfMemoryError=""kill -9 %p""
to
  -XX:+CrashOnOutOfMemoryError

CrashOnOutOfMemoryError has been around since Java 8, so this should work with all our products.

I also added:

    -XX:ErrorFile=""${app_logdir}/${real_name}_err_pid%p.log""",,,,
6,commit:d35daac6af5159318bcb17681dfaf19ced63719f:commit_message,random,commit,"(maint) Interpolate EZBake::Config[:project] correctly

Previously the literal string ""EZBake::Config[:project]"" was printed for
all rake task invocations. I imagine this was intended to be the value
of the project name instead. This commit updates the line to correctly
interpolate the variable in the string.",,,,
7,commit:16e76c94d43e7acd13709c441783a30effac49a9:commit_message,top,commit,"(PE-3002) Support cli apps

This commit adds support for looking for cli apps that
upstream projects may wish to ship with their packaging.
It works basically the same as shared config files; projects
can put scripts into their jars in , and
if any such scripts are found, they will be installed
in .  ezbake will also create a wrapper
script in  which allows the apps to be called as
subcommands, an",,,,
7,commit:a8bd63284dcb0a0d0f61c3bc7b1f1d1908143052:commit_message,top,commit,"(maint) Use proper file format for random source

On OpenJDK 8 the security.egd and securerandom.sourcefile parameters,
if set, should have a protocol attached their path. When using
 one can see this error with the
previous value:

With this change service start up time (measure with just
)
goes from 27 seconds on redhat 7 to 20 seconds and from 23 seconds on
debian 8 to 18 seconds.

I should not",,,,
7,commit:009df4251250951339bac9ab7cddb0a1823eee8f:commit_message,top,commit,"(EZ-59) Pass mirrors setting to aether

This commit improves the places where ezbake calls into
pomegranate/aether to make sure that we are passing through
the value for the  setting from the project (or
from the user profile), so that aether will look for artifacts
in our nexus repository before going out to clojars or
maven central.  This should improve performance and reduce
network I/O for our",,,,
7,commit:58b39960427db01ad4cbfd77ddc4492f6e3f7cd2:commit_message,top,commit,"(EZ-72) Support split bootstrap in configuration

This commit adds support to ezbake for splitting a project's bootstrap files
between /etc/puppetlabs/{project}/services.d/ and
/opt/puppetlabs/server/apps/{project}/config/services.d/

This serves the ultimate goal of putting user-configurable service entries
in one location, and the services that should not be modified in another.

It accomplishes",,,,
7,commit:5ae891b67cdc5833ef26dc68f8c288821895ef63:commit_message,top,commit,"(re-4845) Upgrade from pre-aio to aio paths fails to stop service

Because of the path changes and the change to the name of the jar file
when upgrading from, for example, puppetdb 2.3.x to 3.0.x, the new
init script that gets installed is not able to stop the old service.

This updates the search constraints for the PID of the process to look for
the name of the $JARFILE, which should allow the i",,,,
7,commit:d72c2314a1bfa901ff5c0dad49fee99f0c9a7455:commit_message,random,commit,"Remove extra debian defaults file.

Seems to be unnecessary. Also removes references to it in the project_data.yaml
mustache.

Signed-off-by: Wayne <wayne.com>",,,,
7,pr:OpenVoxProject/ezbake:27:comment_body:28,random,pull_request,I tested this a bit more and it seems to work fine. Also I added lots of documentation. Let me know if you have any more questions.,,,,
7,pr:OpenVoxProject/ezbake:16:comment_body:6,random,pull_request,"When I looked at this job I wondered if we even need it at all. In fact, I questioned that wit the entire file because we don't have a Jenkins instance. So is it easier to get rid of it altogether?",,,,
7,commit:cf72edca6b1297fde943522fe3fff12b7440903d:commit_message,random,commit,"Rename stage.clj to core.clj

As the main clj now contains both stage and build logic, it no longer
makes sense to name it stage.clj. This commit renames it to core.clj, as
seems to be common in clojure projects.",,,,
7,commit:77525f035b7aa7ae467de51567b936c115a50102:commit_message,random,commit,"(EZ-35) Make use of project build-scripts

This commit adds a method to copy build-scripts from the current project to the
staging dir. Previously, we only copied build-scripts from direct dependencies,
which resulted in the FOSS puppetserver build-scripts to be used instead of the
pe-puppet-server-extensions build-scripts when building from pe-pse instead of
from pe-puppetserver (PE-28810).

It a",,,,
7,pr:OpenVoxProject/ezbake:27:comment_body:11,random,pull_request,I tested this a bit more and it seems to work fine. Also I added lots of documentation. Let me know if you have any more questions.,,,,
7,commit:3152c2d1eb9266216895eb7ad52ca5f9b6f375b1:commit_message,random,commit,"Fix paths for docs and config files

Verified an RPM and a deb that were built with this configuration,
and the files appear to be getting packed properly now.",,,,
7,commit:2f5b9b8e62f6882a208abbef85df63073af5dce6:commit_message,random,commit,"(SERVER-1247) fix bug with services-d bootstrap on systemd

In systemd, it doesn't appear that variable interpolation is supported
inside of the defaults files.  Prior to this commit, when using
the  option for bootstrap configuration, we were generating
a defaults file that relied on interpolation.  This commit changes
the code to avoid the interpolation.",,,,
7,pr:OpenVoxProject/ezbake:28:body,random,pull_request,This seems to produce valid packages for openvox-server. They start fine with JRE21.,,,,
7,commit:c67e70c657d84937f5c523e40abc2cb08567c254:commit_message,random,commit,"(maint) Undo some bad assumptions from packaging hard-coding

For debian repos with no apt_repo_name set, the packaging tasks that
generate the repo look for artifacts under deb/dist, rather than
deb/dist/main as it had originally appeared. This fixes the code to
match the assumptions in packaging.",,,,
8,pr:OpenVoxProject/ezbake:8:comment_body:12,top,pull_request,"I'm currently using their container for SLES 15
https://github.com/OpenVoxProject/vanagon/blob/38e78d96bd14510e236a1f5137ad87e67a110dfe/lib/vanagon/platform/defaults/sles-15-x86_64.rb#L24

They have one for 12, but I ran into issues with the openvox build on it.  I don't recall what they were, but I should probably try again, since it looks like they updated the image since I last tried.

 Lo",,,,
8,pr:OpenVoxProject/ezbake:8:comment_body:8,top,pull_request,"I'm currently using their container for SLES 15
https://github.com/OpenVoxProject/vanagon/blob/38e78d96bd14510e236a1f5137ad87e67a110dfe/lib/vanagon/platform/defaults/sles-15-x86_64.rb#L24

They have one for 12, but I ran into issues with the openvox build on it.  I don't recall what they were, but I should probably try again, since it looks like they updated the image since I last tried.

 Lo",,,,
9,pr:OpenVoxProject/ezbake:2:comment_body:4,top,pull_request,I was never a fan of this path. I think there is a java11/java17 symlink as well that we could use? We don't really know to what usr/bin/java points and I had multiple issues at customers where this was pointing to a too new or too old jre.,,,,
9,pr:OpenVoxProject/ezbake:37:comment_body:4,top,pull_request,"I don't remember what platform(s) this happened on, but I remember hitting an error where the version of  did not have the  flag for skipping the header.  That's why we went with  instead [here](https://github.com/puppetlabs/puppet_operational_dashboards/blob/main/templates/grafana_wait.epp#L5).  Feel free to ignore if this only applies to old versions we won't see anymore.",,,,
9,pr:OpenVoxProject/ezbake:8:comment_body:10,top,pull_request,"Yep, I think that'd be good.  Testing the openvoxdb package too would be nice, but if the changes work for openvox-server, I don't know why they'd screw up openvoxdb.",,,,
9,pr:OpenVoxProject/ezbake:8:comment_body:14,top,pull_request,"Yep, I think that'd be good.  Testing the openvoxdb package too would be nice, but if the changes work for openvox-server, I don't know why they'd screw up openvoxdb.",,,,
9,commit:00f9b3e7576df88418f4aac45c8643da846276f1:commit_message,top,commit,"Delete unused rake tasks

This removes Jenkins related rake tasks that Perforce used. I haven't
tested this and I don't know if there are more tasks we can remove, e.g.
https://github.com/OpenVoxProject/ezbake/blob/main/resources/puppetlabs/lein-ezbake/template/global/tasks/integration.rake

Signed-off-by: Tim Meusel <tim.de>",,,,
9,commit:badbe78b038b6adee1f3cd85c3a7ef9bd029e8d4:commit_message,random,commit,"(PE-5992) fix heap dump filenames

Sadly, I don't know what we can use for systemd.",,,,
9,pr:OpenVoxProject/ezbake:90:body,random,pull_request,"This removes Jenkins related rake tasks that Perforce used. I haven't tested this and I don't know if there are more tasks we can remove, e.g. https://github.com/OpenVoxProject/ezbake/blob/main/resources/puppetlabs/lein-ezbake/template/global/tasks/integration.rake



#### Pull Request (PR) description


#### This Pull Request (PR) fixes the following issues",,,,
9,pr:OpenVoxProject/ezbake:27:comment_body:23,random,pull_request,I had  the same question. I don't know where the best place would be and that would also be a bigger change. My goal was to get the packages in any working condition.,,,,
9,pr:OpenVoxProject/ezbake:11:comment_body:11,random,pull_request,"I don't know, that's what we usually configure for other vox pupuli projects.",,,,
9,pr:OpenVoxProject/ezbake:12:comment_body:2,random,pull_request,I don't know a lot about the packaging. Do I need to configure something to ensure the config files are removed on package upgrades? Or will that happen automatically because the files are missing in the latest package?,,,,
9,pr:OpenVoxProject/ezbake:11:comment_body:6,random,pull_request,I don't know too much about the actions / the development workflow. I just wanted to clean them up.,,,,
9,pr:OpenVoxProject/ezbake:17:body,random,pull_request,"This removes Jenkins related rake tasks that Perforce used. I haven't tested this and I don't know if there are more tasks we can remove, e.g. https://github.com/OpenVoxProject/ezbake/blob/main/resources/puppetlabs/lein-ezbake/template/global/tasks/integration.rake",,,,
9,pr:OpenVoxProject/ezbake:27:comment_body:6,random,pull_request,I had  the same question. I don't know where the best place would be and that would also be a bigger change. My goal was to get the packages in any working condition.,,,,
